date,team,formation,player,position,source
2026-06-12,Brazil,4-2-3-1,Alisson,GK,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Danilo,DEF,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Marquinhos,DEF,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Gabriel,DEF,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Alex Sandro,DEF,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Casemiro,MID,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Bruno Guimaraes,MID,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Raphinha,MID,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Lucas Paqueta,MID,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Vinicius Junior,MID,sportsmole/pulse
2026-06-12,Brazil,4-2-3-1,Matheus Cunha,ATT,sportsmole/pulse
2026-06-12,Morocco,4-2-3-1,Bono,GK,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Achraf Hakimi,DEF,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Issa Diop,DEF,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Chadi Riad,DEF,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Noussair Mazraoui,DEF,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Nabil El Aynaoui,MID,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Amine Bouaddi,MID,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Bilal El Khannouss,MID,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Azzedine Ounahi,MID,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Brahim Diaz,MID,sportsmole/rotowire
2026-06-12,Morocco,4-2-3-1,Ismael Saibari,ATT,sportsmole/rotowire
