date,nation,player,position,age,current_ability,condition,injured
2026-06-10,Algeria,Algeria Player 1,GK,24,148.0,0.844,0
2026-06-10,Algeria,Algeria Player 2,GK,29,144.0,0.908,0
2026-06-10,Algeria,Algeria Player 3,GK,26,143.6,0.949,0
2026-06-10,Algeria,Algeria Player 4,DEF,26,143.7,0.926,0
2026-06-10,Algeria,Algeria Player 5,DEF,25,146.7,0.915,0
2026-06-10,Algeria,Algeria Player 6,DEF,25,146.5,0.911,1
2026-06-10,Algeria,Algeria Player 7,DEF,29,152.7,0.891,0
2026-06-10,Algeria,Algeria Player 8,DEF,22,142.0,0.873,0
2026-06-10,Algeria,Algeria Player 9,DEF,25,148.3,0.953,0
2026-06-10,Algeria,Algeria Player 10,DEF,23,143.5,0.899,0
2026-06-10,Algeria,Algeria Player 11,DEF,28,143.8,0.928,0
2026-06-10,Algeria,Algeria Player 12,MID,24,146.4,0.944,0
2026-06-10,Algeria,Algeria Player 13,MID,34,132.1,1.0,0
2026-06-10,Algeria,Algeria Player 14,MID,24,145.9,0.953,0
2026-06-10,Algeria,Algeria Player 15,MID,30,132.7,0.919,0
2026-06-10,Algeria,Algeria Player 16,MID,27,142.3,0.898,0
2026-06-10,Algeria,Algeria Player 17,MID,23,128.0,0.863,0
2026-06-10,Algeria,Algeria Player 18,MID,31,129.4,0.93,0
2026-06-10,Algeria,Algeria Player 19,MID,27,121.7,0.892,0
2026-06-10,Algeria,Algeria Player 20,ATT,24,138.1,0.938,0
2026-06-10,Algeria,Algeria Player 21,ATT,24,138.3,0.913,0
2026-06-10,Algeria,Algeria Player 22,ATT,24,130.1,0.939,0
2026-06-10,Algeria,Algeria Player 23,ATT,22,125.0,0.912,0
2026-06-10,Algeria,Algeria Player 24,ATT,29,131.7,0.842,0
2026-06-10,Algeria,Algeria Player 25,ATT,22,128.1,1.0,0
2026-06-10,Algeria,Algeria Player 26,ATT,27,120.2,0.878,0
2026-06-10,Argentina,Argentina Player 1,GK,25,185.9,0.928,0
2026-06-10,Argentina,Argentina Player 2,GK,28,179.7,0.966,0
2026-06-10,Argentina,Argentina Player 3,GK,18,176.7,0.896,0
2026-06-10,Argentina,Argentina Player 4,DEF,32,168.5,0.951,0
2026-06-10,Argentina,Argentina Player 5,DEF,28,181.1,0.902,0
2026-06-10,Argentina,Argentina Player 6,DEF,30,177.9,0.976,0
2026-06-10,Argentina,Argentina Player 7,DEF,32,171.1,0.878,0
2026-06-10,Argentina,Argentina Player 8,DEF,23,176.9,0.861,0
2026-06-10,Argentina,Argentina Player 9,DEF,34,176.2,0.992,0
2026-06-10,Argentina,Argentina Player 10,DEF,18,179.5,0.863,0
2026-06-10,Argentina,Argentina Player 11,DEF,27,163.9,0.982,0
2026-06-10,Argentina,Argentina Player 12,MID,28,168.6,0.928,0
2026-06-10,Argentina,Argentina Player 13,MID,26,167.3,0.886,0
2026-06-10,Argentina,Argentina Player 14,MID,22,164.4,0.83,1
2026-06-10,Argentina,Argentina Player 15,MID,29,170.1,1.0,0
2026-06-10,Argentina,Argentina Player 16,MID,23,181.5,0.883,0
2026-06-10,Argentina,Argentina Player 17,MID,29,159.5,0.976,0
2026-06-10,Argentina,Argentina Player 18,MID,28,159.9,0.972,0
2026-06-10,Argentina,Argentina Player 19,MID,20,171.7,0.903,0
2026-06-10,Argentina,Argentina Player 20,ATT,33,169.2,0.945,0
2026-06-10,Argentina,Argentina Player 21,ATT,24,166.1,0.964,0
2026-06-10,Argentina,Argentina Player 22,ATT,26,138.3,0.942,0
2026-06-10,Argentina,Argentina Player 23,ATT,25,164.6,0.931,0
2026-06-10,Argentina,Argentina Player 24,ATT,21,150.4,0.935,0
2026-06-10,Argentina,Argentina Player 25,ATT,27,159.4,0.936,1
2026-06-10,Argentina,Argentina Player 26,ATT,27,158.5,0.93,0
2026-06-10,Australia,Australia Player 1,GK,29,149.2,0.901,0
2026-06-10,Australia,Australia Player 2,GK,30,141.3,0.922,1
2026-06-10,Australia,Australia Player 3,GK,24,143.3,0.858,0
2026-06-10,Australia,Australia Player 4,DEF,21,142.5,0.898,0
2026-06-10,Australia,Australia Player 5,DEF,28,144.3,0.891,0
2026-06-10,Australia,Australia Player 6,DEF,23,143.4,0.911,0
2026-06-10,Australia,Australia Player 7,DEF,32,152.7,1.0,0
2026-06-10,Australia,Australia Player 8,DEF,29,147.6,0.939,0
2026-06-10,Australia,Australia Player 9,DEF,35,148.1,0.946,0
2026-06-10,Australia,Australia Player 10,DEF,23,145.6,0.917,0
2026-06-10,Australia,Australia Player 11,DEF,26,142.7,0.957,0
2026-06-10,Australia,Australia Player 12,MID,26,139.8,0.927,1
2026-06-10,Australia,Australia Player 13,MID,29,152.1,0.953,0
2026-06-10,Australia,Australia Player 14,MID,27,127.6,0.847,0
2026-06-10,Australia,Australia Player 15,MID,27,133.3,0.837,0
2026-06-10,Australia,Australia Player 16,MID,27,136.8,0.948,0
2026-06-10,Australia,Australia Player 17,MID,25,138.6,0.914,0
2026-06-10,Australia,Australia Player 18,MID,26,140.8,0.879,0
2026-06-10,Australia,Australia Player 19,MID,32,134.4,0.93,0
2026-06-10,Australia,Australia Player 20,ATT,35,139.3,0.927,0
2026-06-10,Australia,Australia Player 21,ATT,22,135.3,0.894,0
2026-06-10,Australia,Australia Player 22,ATT,23,134.8,0.893,0
2026-06-10,Australia,Australia Player 23,ATT,26,132.6,1.0,0
2026-06-10,Australia,Australia Player 24,ATT,27,130.5,0.878,0
2026-06-10,Australia,Australia Player 25,ATT,32,129.8,0.987,0
2026-06-10,Australia,Australia Player 26,ATT,20,124.7,0.878,0
2026-06-10,Austria,Austria Player 1,GK,26,149.2,0.891,0
2026-06-10,Austria,Austria Player 2,GK,27,152.4,0.896,0
2026-06-10,Austria,Austria Player 3,GK,26,148.1,0.898,0
2026-06-10,Austria,Austria Player 4,DEF,26,139.1,0.913,0
