date,team,total_value_eur,top11_value_eur
2026-06-10,Algeria,110475757,83923415
2026-06-10,Argentina,1326326649,1075328914
2026-06-10,Australia,149000350,68221117
2026-06-10,Austria,118326835,86155270
2026-06-10,Belgium,216651707,202293653
2026-06-10,Bosnia and Herzegovina,15580119,8624100
2026-06-10,Brazil,485993185,201250659
2026-06-10,Canada,99846581,68226805
2026-06-10,Cape Verde,13628594,10039128
2026-06-10,Colombia,627206841,243009991
2026-06-10,Croatia,268189344,142511495
2026-06-10,Curaçao,8417209,4571748
2026-06-10,Czech Republic,49703626,28775734
2026-06-10,DR Congo,33412268,26106738
2026-06-10,Ecuador,265814867,285583712
2026-06-10,Egypt,63653520,45671625
2026-06-10,England,944343335,341606288
2026-06-10,France,883940251,449619021
2026-06-10,Germany,312282725,194167323
2026-06-10,Ghana,11306787,7722230
2026-06-10,Haiti,29160208,17069874
2026-06-10,Iran,128504050,69309696
2026-06-10,Iraq,35946450,13895064
2026-06-10,Ivory Coast,72687933,42391193
2026-06-10,Japan,202980973,164847468
2026-06-10,Jordan,53166555,31282302
2026-06-10,Mexico,228702134,124920294
2026-06-10,Morocco,382033926,141164956
2026-06-10,Netherlands,403794436,138363130
2026-06-10,New Zealand,30861851,16982694
2026-06-10,Norway,309337137,166812693
2026-06-10,Panama,96107884,42470311
2026-06-10,Paraguay,156594352,118053719
2026-06-10,Portugal,304538824,166364201
2026-06-10,Qatar,7971246,4802928
2026-06-10,Saudi Arabia,18680909,13445542
2026-06-10,Scotland,123167575,32080546
2026-06-10,Senegal,149125639,73643121
2026-06-10,South Africa,17933629,10396186
2026-06-10,South Korea,78359372,55802880
2026-06-10,Spain,2035392758,1492192373
2026-06-10,Sweden,46459520,34185848
2026-06-10,Switzerland,327882307,154013061
2026-06-10,Tunisia,27856154,21565461
2026-06-10,Turkey,324732893,143103833
2026-06-10,United States,71881310,44949208
2026-06-10,Uruguay,220480806,181027842
2026-06-10,Uzbekistan,88834398,50307119
