date,home_team,away_team,odds_h,odds_d,odds_a
2026-06-11,Mexico,South Africa,1.35,4.06,13.77
2026-06-11,South Korea,Czech Republic,1.93,4.04,3.41
2026-06-12,Canada,Bosnia and Herzegovina,1.47,3.82,8.66
2026-06-12,United States,Paraguay,2.47,4.03,2.46
2026-06-13,Qatar,Switzerland,12.12,4.03,1.37
2026-06-13,Brazil,Morocco,2.14,3.85,3.0
2026-06-13,Haiti,Scotland,4.29,3.91,1.75
2026-06-13,Australia,Turkey,2.84,3.9,2.22
2026-06-14,Germany,Curaçao,1.4,3.67,13.72
2026-06-14,Ivory Coast,Ecuador,5.23,3.93,1.63
2026-06-14,Netherlands,Japan,2.42,3.93,2.55
2026-06-14,Sweden,Tunisia,2.22,4.23,2.67
2026-06-15,Belgium,Egypt,1.66,4.03,4.74
2026-06-15,Iran,New Zealand,1.75,3.69,4.59
2026-06-15,Spain,Cape Verde,1.25,4.39,30.69
2026-06-15,Saudi Arabia,Uruguay,7.22,3.99,1.49
2026-06-16,France,Senegal,1.59,4.07,5.42
2026-06-16,Iraq,Norway,6.47,3.75,1.56
2026-06-16,Argentina,Algeria,1.47,4.01,7.57
2026-06-16,Austria,Jordan,1.96,3.77,3.51
2026-06-17,Portugal,DR Congo,1.49,4.04,7.04
2026-06-17,Uzbekistan,Colombia,6.04,3.69,1.6
2026-06-17,England,Croatia,1.78,3.99,4.01
2026-06-17,Ghana,Panama,5.38,3.78,1.64
2026-06-18,Czech Republic,South Africa,1.82,3.98,3.85
2026-06-18,Mexico,South Korea,1.75,4.03,4.18
2026-06-18,Switzerland,Bosnia and Herzegovina,1.45,3.9,8.77
2026-06-18,Canada,Qatar,1.32,4.37,13.98
2026-06-19,Scotland,Morocco,4.23,3.95,1.75
2026-06-19,Brazil,Haiti,1.39,4.03,10.89
2026-06-19,United States,Australia,2.34,4.03,2.61
2026-06-19,Turkey,Paraguay,2.07,4.23,2.93
2026-06-20,Germany,Ivory Coast,1.58,4.37,5.01
2026-06-20,Ecuador,Curaçao,1.34,3.92,16.35
2026-06-20,Netherlands,Sweden,1.55,3.95,6.22
2026-06-20,Tunisia,Japan,7.26,4.52,1.43
2026-06-21,Belgium,Iran,2.03,3.96,3.18
2026-06-21,New Zealand,Egypt,3.13,3.98,2.04
2026-06-21,Spain,Saudi Arabia,1.3,4.04,21.67
2026-06-21,Uruguay,Cape Verde,1.45,3.94,8.64
2026-06-22,France,Iraq,1.39,3.78,13.35
2026-06-22,Norway,Senegal,2.21,4.0,2.8
2026-06-22,Argentina,Austria,1.51,3.54,8.77
2026-06-22,Jordan,Algeria,3.43,4.37,1.85
2026-06-23,Portugal,Uzbekistan,1.58,4.11,5.47
2026-06-23,Colombia,DR Congo,1.48,3.77,8.35
2026-06-23,England,Ghana,1.32,3.97,18.76
2026-06-23,Panama,Croatia,3.79,3.95,1.84
2026-06-24,Mexico,Czech Republic,1.52,3.91,6.93
2026-06-24,South Africa,South Korea,5.61,4.12,1.57
2026-06-24,Canada,Switzerland,2.44,3.89,2.55
2026-06-24,Bosnia and Herzegovina,Qatar,2.04,3.95,3.16
2026-06-24,Scotland,Brazil,5.53,4.09,1.58
2026-06-24,Morocco,Haiti,1.46,3.88,8.56
2026-06-25,United States,Turkey,2.81,3.81,2.26
2026-06-25,Paraguay,Australia,2.4,3.68,2.69
2026-06-25,Curaçao,Ivory Coast,5.9,3.73,1.61
2026-06-25,Ecuador,Germany,2.32,4.35,2.51
2026-06-25,Japan,Sweden,1.55,4.16,5.72
2026-06-25,Tunisia,Netherlands,6.88,3.89,1.52
2026-06-26,Egypt,Iran,3.21,3.98,2.01
2026-06-26,New Zealand,Belgium,6.24,3.77,1.58
2026-06-26,Cape Verde,Saudi Arabia,2.61,4.1,2.31
2026-06-26,Uruguay,Spain,6.4,4.13,1.51
2026-06-26,Norway,France,4.17,3.87,1.78
2026-06-26,Senegal,Iraq,1.73,3.66,4.76
2026-06-27,Algeria,Austria,2.62,4.05,2.32
2026-06-27,Jordan,Argentina,13.86,3.98,1.36
2026-06-27,Colombia,Portugal,2.31,3.63,2.84
2026-06-27,DR Congo,Uzbekistan,3.23,3.88,2.03
2026-06-27,Panama,England,6.82,4.17,1.48
2026-06-27,Croatia,Ghana,1.37,4.21,10.82
